Date,Open,High,Low,Close,Adj Close,Volume
10/8/18,33.259998,34.130001,33.139999,34.060001,34.060001,1378800
10/9/18,34.099998,34.970001,34.02,34.689999,34.689999,1172800
10/10/18,34.389999,34.439999,33.689999,33.82,33.82,2150300
10/11/18,32.48,33.049999,32.32,32.490002,32.490002,3273300
10/12/18,32.950001,32.98,32.060001,32.459999,32.459999,4165200
10/15/18,32.790001,33.07,32.5,32.689999,32.689999,1899300
10/16/18,32.98,33.220001,32.849998,33.049999,33.049999,1798300
10/17/18,33.099998,33.099998,32.299999,32.790001,32.790001,1253300
10/18/18,32.400002,32.630001,31.9,31.940001,31.940001,1500200
10/19/18,32.139999,32.59,31.9,31.92,31.92,1457100
10/22/18,32.02,32.02,31.209999,31.549999,31.549999,1930400
10/23/18,30.540001,30.59,29.879999,30.309999,30.309999,2534900
10/24/18,30.35,30.49,28.76,28.780001,28.780001,2740400
10/25/18,29.26,29.620001,29.18,29.32,29.32,3404100
10/26/18,28.66,29.85,28.66,29.6,29.6,3141800
10/29/18,29.73,29.83,28.5,28.76,28.76,2425400
10/30/18,28.629999,29.34,28.5,29.309999,29.309999,2643100
10/31/18,29.629999,29.83,29.200001,29.23,29.23,2863100
11/1/18,30.540001,30.870001,30.1,30.84,30.84,3535100
11/2/18,30.860001,31.030001,30.309999,30.620001,30.620001,1346500
11/5/18,30.719999,30.92,30.48,30.76,30.76,2032800
11/6/18,30.67,30.879999,30.549999,30.879999,30.879999,2186545
